"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TJP3",-1.99925416398311,1.16986822790545,-22.8162588821168,4.37379380239791e-48,1.14127493500396e-45,99.0487664039687
"ACSF2",-4.0528837779422,3.94793419825241,-22.7397932860606,6.26477724376721e-48,1.62586208123109e-45,98.6905840318508
"AC051618.1",-1.90910616342859,0.662411092566159,-22.6091466593788,1.15942167226445e-47,2.99280394240648e-45,98.0769287652481
"NAT8L",-2.2702302168172,0.939949133632862,-22.5962008456782,1.23248382728029e-47,3.16438574948563e-45,98.0160061310839
"SLC9A4",-1.90288726057854,2.05444519369389,-22.5089251081612,1.86181065293231e-47,4.7547475036482e-45,97.6047453886357
"SERPINA4",-2.70428036878946,1.24923936184323,-22.5001350667392,1.94089337200637e-47,4.93048532152221e-45,97.5632724399083
"DUSP26",-1.65613110005091,0.889634456625633,-22.4590207605043,2.35808048220465e-47,5.95874526903208e-45,97.3691602593867
"ESRRB",-2.47322143923906,1.07677270632323,-22.3368204461237,4.21126550370132e-47,1.05859308567386e-44,96.7909747111152
"SLC5A2",-3.86072145183487,1.7033424055032,-22.3314111275964,4.32095406620962e-47,1.08050857618154e-44,96.7653376947129
"AQP7P1",-2.28111145197273,1.07401883859015,-22.3040305702527,4.92184864742175e-47,1.22439273191717e-44,96.635513759166
"BHLHE41",4.07357699841159,4.45726781582807,22.2334481434704,6.88788941732536e-47,1.70464611703415e-44,96.3004177206822
"HPD",-6.56750985712226,4.19345377862252,-22.2042514807757,7.91662828241662e-47,1.94919567741224e-44,96.1616219557
"DNMT3L",-2.59803169347708,1.05828562160819,-22.1263255615061,1.14846112975716e-46,2.81326100826023e-44,95.7906534802137
"ELF5",-2.21958428125327,0.809793980081663,-22.0813769628107,1.42384808796684e-46,3.47014184768852e-44,95.5763284724745
"NNMT",5.51233518890906,7.30660492161632,21.9689827662991,2.43980391373998e-46,5.88642540233588e-44,95.0392984808779
"AC104072.1",-1.71025031483851,0.634246573600172,-21.9559490035886,2.59729981320755e-46,6.23507793158605e-44,94.9769193064169
"AL109615.3",2.96979335864202,2.80665512515212,21.9426510432591,2.76853084815995e-46,6.61306980506744e-44,94.9132536904955
"CTSV",-3.7091585795923,2.47184897441963,-21.8435029873529,4.4594516906132e-46,1.0599366067808e-43,94.4378692866681
"CYP27B1",-3.11001571882998,1.6053515875975,-21.8276420688537,4.81337886123751e-46,1.13842337874746e-43,94.3617063051939
"LINC01983",-1.58130242177956,0.559567115844531,-21.7751704036097,6.19835454207584e-46,1.45880097193208e-43,94.1095154078214
"MFSD6L",-1.29399685064086,0.590353691888011,-21.77061016244,6.33619162463199e-46,1.48396698674064e-43,94.0875814575958
"MTTP",-3.12109542271156,1.38168770133362,-21.7355374310444,7.50463011386532e-46,1.74908883993642e-43,93.9188002529371
"IGFBP3",4.79763546066819,8.34695786865703,21.7140884800247,8.32361677801401e-46,1.91212195572253e-43,93.8155046192205
"GRHL2",-1.83053553970287,0.69423588656662,-21.6616838881843,1.07230871800431e-45,2.43998512648449e-43,93.5628861600419
"NRK",-2.24372983508082,0.977890125008196,-21.6605987435245,1.07795180687324e-45,2.44125576186784e-43,93.5576515142328
"GPC3",-3.92619935606069,3.00152949818499,-21.6433658406289,1.17167772349018e-45,2.64106060376575e-43,93.4745015298669
"DNASE1",-2.65039741253421,2.684942835164,-21.631913726079,1.23845327148586e-45,2.77853357339155e-43,93.4192235262524
"COL4A6",-1.18564544889842,0.540147112023902,-21.6284701630254,1.25927074871412e-45,2.81209800870987e-43,93.4025986161992
"SPTBN2",-2.96069827078747,1.43538978087031,-21.6030371533952,1.42431970385541e-45,3.16594618618082e-43,93.2797661972426
"RASL11B",-3.07159342205043,1.80067009464657,-21.564279921991,1.71864256267468e-45,3.78511315225397e-43,93.0924253813531
"TAGLN3",-2.19297190408477,0.956919607127307,-21.5446949711653,1.8899046459675e-45,4.14329232247451e-43,92.9976854168261
"LMX1B",-1.63296545769151,0.573017332258318,-21.539805511977,1.93527391377689e-45,4.22347141582981e-43,92.9740256530176
"CLNK",-1.50658688291005,0.805334836489024,-21.5260260616675,2.06911209185703e-45,4.49512261331403e-43,92.9073315598782
"AC025154.2",-1.35983419470405,0.471607253398053,-21.4726401807219,2.68162128055416e-45,5.79954959107957e-43,92.6487111522842
"ARMH4",-2.04407404662216,1.37223258418447,-21.4395490516248,3.14976640412308e-45,6.78146119259001e-43,92.4882248029596
"LINC01874",-4.44877454758375,2.17337296569919,-21.4217019001603,3.43551737374676e-45,7.36366339947899e-43,92.4016116206229
"CYP4F2",-5.02970438330325,2.15412833472008,-21.4116527790036,3.60773907777848e-45,7.69843416010225e-43,92.3528249519441
"LGALS9",2.90521695485569,3.86581685301014,21.4099223574394,3.6382591964803e-45,7.72920798855805e-43,92.3444227772589
"HSF4",3.7901254753022,4.40109772809284,21.3950585986116,3.91134204802616e-45,8.27274689030097e-43,92.2722352107557
"HOXB-AS3",-2.11496373019537,1.48836534511112,-21.3651944962121,4.52392365462465e-45,9.5264308116596e-43,92.1271121489561
"MT1H",-6.3596649608756,3.84930571596938,-21.324339194363,5.52127783401027e-45,1.15758773522489e-42,91.9283948924542
