Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-A3-3326-01	0.0111387540586253	0	0	0.0559085575565475	0	0.309481840192732	0	0	0.0290651174685972	0.00106961337020586	0.0263214126260074	0	0.0483270562423451	0	0.126423763827303	0.200135646034141	0.0785988511310185	0	0.106225978936045	0	0	0.0073034085564322	0.00600000000000001	0.310439810963266	0.958011131150154
TCGA-AK-3426-01	0.00457733412536905	0	0	0.439345114336668	0	0	0.0164741050604548	0.0208009710271512	0.0427548906676674	0.0744738382472695	0	0.0858412881850199	0.00796928596272176	0.0202900372698421	0.0902138422076146	0.114943162095655	0.0246321697758665	0	0.0576839610386994	0	0	0	0	0.566831485904691	0.823453688772394
TCGA-B0-5691-01	0.0846997358118619	0	0.0190320442088784	0.127782586933824	0	0.167527215650737	0	0	0.03546431748695	0.00799947017838421	0	0	0.0495170487484876	0.052850345395156	0.169981898545124	0.157286747863478	0.0293180470443773	0	0.0938986492204771	0	0	0.00464189291226545	0.00800000000000001	0.274635047397125	0.977048729291394
TCGA-B0-5402-01	0.00374772413753862	0	0.0316620000258771	0.0669344423170878	0	0.209932421946595	0	0	0.0120839793521465	0.0859678655375655	0	0.0764442107996812	0.0299610926020773	0	0.213189971806977	0.159273135884386	0.0132727305136411	0	0.0844507408668423	0	0	0.013079684209585	0.00600000000000001	0.314827023096525	0.973358445115785
TCGA-CZ-5453-01	0.00794461175897064	0	0.022654036036516	0	0	0.238789251954017	0	0	0.0010628090500797	0	0	0.095561083909604	0.128650872527089	0	0.0686466810501063	0.355378476034635	0	0.00316328945162953	0.0574203232382368	0	0	0.0207285649891154	0.404	0.048536289116091	1.07665072668171
TCGA-B8-5158-01	0.00849380717675506	0	0.030723599632295	0.105328000673946	0	0.202013607572498	0	0.0105280551021496	0.0291818201755498	0.0324637264371121	0	0.0231306036781486	0.0368641045289485	0.0352705442628529	0.159770983794781	0.119803149724456	0.138194130998493	0	0.0318382454001675	0	0	0.0363956208418461	0.005	0.337577696310792	0.948243870545829
TCGA-CW-6087-01	0	0	0.000123530214666984	0.403761665421337	0	0	0.0461088528932819	0.0142017721217363	0.0582304938553179	0.114935118423872	0	0.0254887073855704	0.0324502377111811	0	0.115917265147209	0.162689839947576	0.00216034911335098	0	0.0201869244248923	0	0	0.00374524334000815	0	0.532498643110796	0.846349677401947
TCGA-CJ-4644-01	0	0	0.0203862606761264	0.383302020715958	0	0.0279857840381401	0.0101713164638888	0	0.000922498131800569	0.0993234393413285	0	0.0194494484745623	0.0827896863830551	0	0.0916618608771809	0.221905927217322	0	0	0.0421017576806373	0	0	0	0.003	0.389543424035061	0.928281388665949
TCGA-CZ-5985-01	0.0102503711059278	0	0.0280638654866641	0.012287294019968	0	0.24925532201474	0.0161539696327469	0	0.00596778387804489	0.052818745047327	0	0.011127146111022	0.000238373965805686	0.0767856178150776	0.110379148520931	0.331163862312928	0.0251096672280159	0	0.0664701875108744	0	0	0.00392864534992709	0.004	0.365246273758614	0.934126556842023
TCGA-CZ-5452-01	0	0	0.0356946277197991	0.520912097255826	0	0.000789346392283127	0	0.0419291302518441	0.0680740906771217	0.0565502393600309	0	0.0383696210422134	0.0453309174860406	0	0.0503766714359021	0.128487496545844	0.00431194454423606	0.00178684443637724	1.14449039281942e-06	0	0	0.00738582836208866	0	0.501496690780396	0.868019365257237
TCGA-BP-4170-01	0	0	0.0112024748280162	0.197256077879821	0	0.197857820873944	0	0.0409826527957668	0.00570453877396824	0.0885237725318264	0	0.0457166561705781	0.0656390284246466	0	0.0986082988986377	0.211129513967978	0.01276645829243	0	0.00870287021768191	0	0	0.0159098363447041	0.034	0.182891699330218	1.03168988666583
