"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LRRN1",-1.02578189084713,0.504311558679877,-12.7607067330526,4.53727427890548e-33,5.04219146789138e-32,63.8045883505362
"ADAMTS4",2.12979655907017,3.99253171816789,12.7570956390579,4.70476672222434e-33,5.22237139348556e-32,63.7685404797379
"SLC5A3",-1.93835659093483,4.61323942725517,-12.7333096539232,5.97275668411922e-33,6.61480259002709e-32,63.5312398835116
"CD200",1.54482421722795,5.03078020620239,12.732460650064,6.02382015924151e-33,6.66756893108326e-32,63.5227744282903
"GATA2",-1.51763522776671,3.22786296343118,-12.7316356400487,6.07385688835192e-33,6.71913958556594e-32,63.5145485222633
"NTRK2",-2.06578990933481,2.37166098864941,-12.7183470423986,6.93925445594831e-33,7.65909901835653e-32,63.3820937601995
"COL4A1",1.86432085205304,8.42737827267523,12.7156801155654,7.12719288525222e-33,7.86208387110147e-32,63.3555204594152
"SAMD14",1.04521017672223,1.97267498475914,12.7120545954905,7.39083607386101e-33,8.1483027670159e-32,63.3194007782579
"BTBD19",1.48387049369755,3.09652111749809,12.7117974625292,7.40989903440124e-33,8.16470400383771e-32,63.3168392815056
"FBXO17",1.48204043428969,5.81427630137336,12.7047022892693,7.95566785896943e-33,8.76111746208248e-32,63.2461704448489
"NCAPH",1.09635861630809,1.63623887072493,12.7014161627767,8.22182474422335e-33,9.04400721864569e-32,63.2134477753142
"SIPA1",1.07822158147557,4.95664690148294,12.7013121705246,8.23039067515576e-33,9.0483263437183e-32,63.21241231705
"JMY",-1.13731284801753,2.85478897956647,-12.6998675147378,8.35031140445561e-33,9.17499286316044e-32,63.198028273373
"SERPINB9",1.33638133391889,4.43404299242319,12.6923473980818,9.00322687528698e-33,9.88125682322577e-32,63.1231675025753
"FRK",-1.26009006111106,3.22430802016161,-12.6891627999061,9.29481521828804e-33,1.01955444995653e-31,63.0914732494421
"SCOC",-1.03359865202507,4.85237531259749,-12.679588540462,1.0229296875318e-32,1.12079762336701e-31,62.9962139967541
"STK10",1.13726403949081,4.10093281290527,12.6747459591688,1.07369914419351e-32,1.17576386351522e-31,62.9480482001307
"RPL28",1.02860751333106,7.54692820189083,12.6728806680758,1.09391729612346e-32,1.19723170742401e-31,62.9294982317464
"FBP1",-2.17566634679127,5.95611841313579,-12.6687942237659,1.13954536356565e-32,1.24646961444873e-31,62.8888647352892
"C1QTNF7",-1.29997718970155,1.3888721713252,-12.6654284968361,1.17854543811466e-32,1.28840648427972e-31,62.8554032749118
"PLXND1",1.53777230914237,5.98060524429294,12.6569689420484,1.2825372576432e-32,1.40052206807477e-31,62.7713222067009
"PSAT1",-2.77385023088782,3.71312284218397,-12.6551045121226,1.30665761104566e-32,1.4252652901691e-31,62.7527955936001
"BIRC3",2.05393479624082,5.49949504967469,12.6499764291163,1.37535486107535e-32,1.49852211483534e-31,62.7018464698966
"SEPTIN5",1.37587191527907,3.04231006341402,12.6464434132098,1.42476461182903e-32,1.551489906449e-31,62.6667516820714
"PTGFR",-1.68852885253269,1.56107985323188,-12.6458184395255,1.43368711970556e-32,1.56033481560366e-31,62.6605441624395
"HJURP",1.27791481964042,1.54313763860328,12.6436444637181,1.4651596628328e-32,1.59369820994022e-31,62.6389526184488
"SLFN11",1.56505411474208,4.51735004633762,12.6427215203522,1.47872818305975e-32,1.60756052141663e-31,62.6297867473495
"SLC16A10",-1.25281401435118,1.39119442624077,-12.6197413660371,1.86001030690487e-32,2.01980963338339e-31,62.4016908680992
"IFNAR2",1.07992009884493,3.92285741935393,12.6191414386417,1.87117707691211e-32,2.03080503789743e-31,62.3957392946405
"TSPAN4",1.15423464638828,5.39452620138161,12.6149103356201,1.9518510065278e-32,2.11600612453094e-31,62.3537692699062
"HDAC11",-1.02476085139812,3.72457517530621,-12.6103643053625,2.04239182817674e-32,2.21170282203948e-31,62.3086843151037
"MFSD3",-1.14973090685063,3.9969581999862,-12.6065659862149,2.12123848718975e-32,2.29581099975925e-31,62.2710218574108
"BNIP3",1.48178408970546,6.91964971237746,12.602909940381,2.19999213476679e-32,2.37972526923775e-31,62.234776245979
"FANCI",1.01790042360201,2.41148725054558,12.5995290930885,2.27540541447363e-32,2.45993524381814e-31,62.2012642715538
"TLCD3A",1.49655508252379,4.661081672867,12.5981797671455,2.30621711804449e-32,2.49186440184053e-31,62.187890783311
"ABCA1",1.42104251073661,4.63939047599166,12.5961307073479,2.3538032716873e-32,2.54046625388585e-31,62.1675836346829
"SAMHD1",1.52703907490187,5.81687350536527,12.5934055667635,2.41860807456647e-32,2.60896644238218e-31,62.1405791355529
